X;DHB4TP1.1;DHB4TP1.2;DHB4TP1.1t;DHB4TP2.1;DHB4TP2.2;DHB4TP2t;DHB4TP3.1;DHB4TP3.2;DHB4TP3t;DHB4TP1.1c;DHB4TP1.2c;DHB4TP1.1tc;DHB4TP1.2tc;DHB4TP2.1c;DHB4TP2.2c;DHB4TP2tc;DHB4TP3.1c;DHB4TP3.2c;DHB4TP3tc
PF3D7_0210200;-0.378739804;-0.138513937;-0.51302667;-0.435410505;-0.36616211;-0.233178776;0.035059543;-0.251274255;-0.495455465;-0.573977134;-0.354508302;-0.167989337;-0.222853094;-0.252862981;-0.409135928;-0.468628304;-0.310038387;-0.216756136;-0.032992358
PF3D7_0210300;0.559401482;1.11473099;-0.262041911;1.788781646;1.453910214;1.119222204;1.381036416;1.424619362;1.262960719;1.780078753;0.112384201;1.412756711;1.083778915;2.156275187;2.325558723;1.657378587;1.483653943;1.85946839;1.570341378
PF3D7_0210500;-0.017359661;0.05598787;0.457050966;0.362777441;0.528841094;0.241472196;-0.03616137;0.1095421;-0.041537252;-0.317343959;0.510113681;0.220290638;0.163485257;0.297196265;0.360432027;0.265700617;0.016400463;0.157525549;0.090827139
PF3D7_0210600;-0.561866938;-0.677088167;-0.364987279;-0.6362817415;-0.6381535145;-0.366919339;0.154956903;0.075280849;0.031480238;-0.2158538245;-0.0900389905;-0.8144889955;-1.0261933335;0.056315599;-0.0750961355;-0.121313975;0.847665908;0.8252360285;0.783790657
PF3D7_0210700;-0.243443895;-0.017318571;-0.356449604;0.109009631;-0.090258234;-0.100279328;0.236499422;0.026965488;0.092539599;-0.583839783;0.086918687;-0.97661271;-0.696431747;0.432087004;0.559488475;0.202079524;0.755509242;0.683753652;1.046286098
PF3D7_0210800;-1.232179573;-1.544736692;-0.568006276;-1.87716932;-1.806235917;-1.755332237;-1.142123351;-1.579411217;-1.347668032;-1.129048782;-0.608978849;-0.645561254;-0.886411444;-1.278350056;-1.120862661;-0.787821898;-0.225464509;-0.421054282;-0.269533479
PF3D7_0210900;0.474848484;0.60490878;0.499816566;0.59780266;0.636804768;0.772717647;0.130269914;0.344831756;0.069117141;-0.534918079;-0.017163487;-0.132193341;-0.159146619;-0.424366359;-0.392203765;-0.184285963;-0.087451842;-0.199233478;0.177443042
PF3D7_0211100;-0.286569903;0.166386305;0.227850244;-0.31151288;-0.271470051;0.237054587;-0.161050734;-0.265867928;-0.312338011;0.754913202;-0.197974699;-0.359121364;-0.207042098;-0.763705944;-1.171844697;-0.719701631;-0.755282276;-0.626556119;-0.769510026
PF3D7_0211200;0.960823557;0.699139005;-0.07317982;0.795385374;0.595678634;0.893074081;0.788822735;0.605237035;0.743192038;0.438357796;-0.255660193;0.74120922;1.016419001;0.847582275;1.41390026;0.92460545;1.002330358;0.91931397;0.815388427
PF3D7_0211300;0.326539982;0.45872157;0.609813144;1.033819928;0.662100351;0.454049952;0.081187895;0.271856495;0.234854985;-0.022204197;0.40131626;0.316129571;0.228749687;0.704080092;0.628068013;0.379366518;0.382969391;0.789710883;0.724742148
PF3D7_0211400;-0.383897901;-0.225909691;0.596079228;-0.272106091;-0.362222057;-0.761193666;-0.851713053;-0.690456503;-0.406365751;-0.362700625;0.048184849;-0.553258069;-0.723952916;-0.480946327;-0.750383381;-0.209274404;-0.564487837;-0.453090129;-0.548428028
